Time (UTC),Price (USD/MWh)
2022-10-05 01,155.08800910946252
2022-10-05 02,123.7581199118521
2022-10-05 03,92.42823071424034
2022-10-05 04,61.61334223530965
2022-10-05 05,36.34493473114276
2022-10-05 06,11.076527226974783
2022-10-05 07,13.24122577249682
2022-10-05 08,27.670756117479357
2022-10-05 09,38.09814543816762
2022-10-05 10,32.35848552114522
2022-10-05 11,26.618825604122826
2022-10-05 12,20.879165687100183
2022-10-05 13,15.139505770077786
2022-10-05 14,17.989210705938916
2022-10-05 15,20.21005392650752
2022-10-05 16,6.711811853914126
2022-10-05 17,4.648292682337063
2022-10-05 18,4.352328798323336
2022-10-05 19,4.056364914309622
2022-10-05 20,3.7604010302959074
2022-10-05 21,3.4644371462821804
2022-10-05 22,9.353581127960274
2022-10-05 23,27.13168253110956
2022-10-06 00,44.9097839342596
2022-10-06 01,56.5342218002462
2022-10-06 02,45.765375306176196
2022-10-06 03,34.78204821936977
2022-10-06 04,23.468527015697344
2022-10-06 05,12.155005812024918
2022-10-06 06,6.806954936846226
2022-10-06 07,12.103826122245902
2022-10-06 08,19.065207356320876
2022-10-06 09,27.64356303371904
2022-10-06 10,36.20249168566224
2022-10-06 11,44.12632540373014
2022-10-06 12,40.95513747243817
2022-10-06 13,34.86545204902774
2022-10-06 14,28.775766625617308
2022-10-06 15,22.686081202206623
2022-10-06 16,16.596395778796197
2022-10-06 17,10.50671035538577
2022-10-06 18,4.9046321530000005
2022-10-06 19,4.9046321530000005
2022-10-06 20,4.9046321530000005
2022-10-06 21,4.9046321530000005
2022-10-06 22,4.9046321530000005
2022-10-06 23,40.65285407497959
2022-10-07 00,57.31386527857909
2022-10-07 01,44.2715689943622
2022-10-07 02,31.229272710145302
2022-10-07 03,18.186976425927845
2022-10-07 04,17.719069219135278
2022-10-07 05,19.314182470848337
2022-10-07 06,20.90929572256146
2022-10-07 07,26.586247540457954
2022-10-07 08,33.38598050141054
2022-10-07 09,40.185713462363424
2022-10-07 10,46.98544642331602
2022-10-07 11,48.64602124496691
2022-10-07 12,44.18766051588359
2022-10-07 13,47.44327769185612
2022-10-07 14,51.287949856507694
2022-10-07 15,48.61780592397554
2022-10-07 16,45.947661991443496
2022-10-07 17,46.087990627148685
2022-10-07 18,46.42073586294603
2022-10-07 19,46.75348109874337
2022-10-07 20,47.086226334540704
2022-10-07 21,47.55111601244641
2022-10-07 22,53.72522165597721
2022-10-07 23,59.899327299508016
2022-10-08 00,66.07343294303908
2022-10-08 01,67.4737818842783
2022-10-08 02,58.51619498210029
2022-10-08 03,49.55860807992228
2022-10-08 04,40.60102117774504
2022-10-08 05,34.636399266594914
2022-10-08 06,30.17803853751159
2022-10-08 07,34.27124241621207
2022-10-08 08,40.094644435158465
2022-10-08 09,45.91804645410487
2022-10-08 10,68.48231617143976
2022-10-08 11,35.447743167403885
2022-10-08 12,39.96170610177463
2022-10-08 13,53.52753344942802
2022-10-08 14,69.76303876969183
