Time (UTC), WUE (L/kWh)
2022-10-04 00,2.759191592393347
2022-10-04 01,2.898138417315484
2022-10-04 02,2.9786087552122895
2022-10-04 03,2.965752991144
2022-10-04 04,2.93484838057042
2022-10-04 05,2.890670031462625
2022-10-04 06,2.8727791904971087
2022-10-04 07,2.8526381200810045
2022-10-04 08,2.8382090052269504
2022-10-04 09,2.9080093598933017
2022-10-04 10,2.9741111844835526
2022-10-04 11,3.033598252921825
2022-10-04 12,3.0485332252018225
2022-10-04 13,3.1002739604940004
2022-10-04 14,3.096960342850874
2022-10-04 15,3.036753314203672
2022-10-04 16,2.9787519868916537
2022-10-04 17,3.073100869177138
2022-10-04 18,3.185618733529977
2022-10-04 19,3.3490990519404202
2022-10-04 20,3.455987468373846
2022-10-04 21,3.546627926809042
2022-10-04 22,3.6142626584507545
2022-10-04 23,3.731634698927227
2022-10-05 00,3.87104018143921
2022-10-05 01,3.98449846495353
2022-10-05 02,4.1570542440382425
2022-10-05 03,4.2204215962081
2022-10-05 04,4.284227604148249
2022-10-05 05,4.2266471989880205
2022-10-05 06,4.19324352197849
2022-10-05 07,4.194370150646446
2022-10-05 08,4.248281806023015
2022-10-05 09,3.7432649997447967
2022-10-05 10,3.706099593814186
2022-10-05 11,3.6661729713850195
2022-10-05 12,3.6013922201292248
2022-10-05 13,3.547598629212385
2022-10-05 14,3.438268674736832
2022-10-05 15,3.214015449143834
2022-10-05 16,2.898255203688585
2022-10-05 17,2.7484282174315195
2022-10-05 18,2.6014939028100645
2022-10-05 19,2.5036640507271413
2022-10-05 20,2.497055096771141
2022-10-05 21,2.500325465256632
2022-10-05 22,2.5243979683240947
2022-10-05 23,2.600072981721984
2022-10-06 00,2.6648283153126497
2022-10-06 01,2.805277445430888
2022-10-06 02,2.919033287796231
2022-10-06 03,2.9256599409203514
2022-10-06 04,2.9555733856117286
2022-10-06 05,2.962605061811164
2022-10-06 06,2.9672119729722173
2022-10-06 07,2.9875572282743432
2022-10-06 08,3.012413940983028
2022-10-06 09,3.0199969150348718
2022-10-06 10,3.042287392095541
2022-10-06 11,3.0629450043617945
2022-10-06 12,3.0613847285514373
2022-10-06 13,3.059386382409146
2022-10-06 14,3.053128067548088
2022-10-06 15,2.936694240664573
2022-10-06 16,2.805972326630035
2022-10-06 17,2.7755094653012238
2022-10-06 18,2.7825891679764347
2022-10-06 19,2.7853864352581024
2022-10-06 20,2.791295901992276
2022-10-06 21,2.7799445742449396
2022-10-06 22,2.786128936901932
2022-10-06 23,2.8416270568129915
