Time (UTC), WUE (L/kWh)
2022-09-29 23,4.5950468541265215
2022-09-30 00,4.621813503803623
2022-09-30 01,4.591495659823423
2022-09-30 02,4.635945968736039
2022-09-30 03,4.513928295216326
2022-09-30 04,4.318231201600832
2022-09-30 05,4.334899789348635
2022-09-30 06,4.532246663188152
2022-09-30 07,4.659071989790679
2022-09-30 08,4.705153544959676
2022-09-30 09,4.7215391476150055
2022-09-30 10,4.7372425958540525
2022-09-30 11,4.804774054133352
2022-09-30 12,4.805255552175323
2022-09-30 13,4.783594328412573
2022-09-30 14,4.739992724966955
2022-09-30 15,4.664588239638762
2022-09-30 16,4.657320810110463
2022-09-30 17,4.7003792601340395
2022-09-30 18,4.5312954815310995
2022-09-30 19,4.628596248948788
2022-09-30 20,4.517281854648896
2022-09-30 21,4.426408165848348
2022-09-30 22,4.372933109298971
2022-09-30 23,4.410024768289183
2022-10-01 00,4.484776554365449
2022-10-01 01,4.35826546076902
2022-10-01 02,4.295730227418316
2022-10-01 03,4.1029203950792255
2022-10-01 04,3.9855451193718068
2022-10-01 05,3.8907385256102422
2022-10-01 06,4.373212485455062
2022-10-01 07,4.404768236771316
2022-10-01 08,4.555660104139012
2022-10-01 09,4.655878836696027
2022-10-01 10,4.7048968322504425
2022-10-01 11,4.790150571296959
2022-10-01 12,4.775093210150997
2022-10-01 13,4.801334105631573
2022-10-01 14,4.76657348204761
2022-10-01 15,4.6623098712436235
2022-10-01 16,4.620599076930402
2022-10-01 17,4.705429813115487
2022-10-01 18,4.783805998261833
2022-10-01 19,4.892603947653287
2022-10-01 20,4.805900794656708
2022-10-01 21,4.716127730776856
2022-10-01 22,4.677046092021885
2022-10-01 23,4.587301445059023
2022-10-02 00,4.503940924963219
2022-10-02 01,4.50345520381797
2022-10-02 02,4.5345955861741185
2022-10-02 03,4.355868305740084
2022-10-02 04,4.23039825751142
2022-10-02 05,4.346549665430461
2022-10-02 06,4.352205268333841
2022-10-02 07,4.582823170996072
2022-10-02 08,4.652502919780756
2022-10-02 09,4.783987353315585
2022-10-02 10,4.808528624643673
2022-10-02 11,4.8015514266044965
2022-10-02 12,4.804952338389193
2022-10-02 13,4.92605281821501
2022-10-02 14,4.782023835824971
2022-10-02 15,4.901873048702126
2022-10-02 16,4.921095854791371
2022-10-02 17,4.8704364707651235
2022-10-02 18,4.955056978111662
2022-10-02 19,4.93515752500706
2022-10-02 20,5.006042891899046
2022-10-02 21,4.871283057752068
2022-10-02 22,4.737413554223028
2022-10-02 23,4.680595664206304
2022-10-03 00,4.6299557024114835
2022-10-03 01,4.602116172910078
2022-10-03 02,4.4641724849655215
2022-10-03 03,4.389069428376682
2022-10-03 04,4.280853871980217
2022-10-03 05,4.253243384482584
2022-10-03 06,4.435037029316411
2022-10-03 07,4.708794705418024
2022-10-03 08,4.711557555690725
2022-10-03 09,4.7502188145254545
2022-10-03 10,4.791214781704762
2022-10-03 11,4.837904085864224
2022-10-03 12,4.721584476799652
2022-10-03 13,4.735466058191579
2022-10-03 14,4.742837944718166
2022-10-03 15,4.685447940511888
2022-10-03 16,4.650803234716833
2022-10-03 17,4.582410378810865
2022-10-03 18,4.559410917666551
2022-10-03 19,4.749312632558124
2022-10-03 20,4.620528671821312
2022-10-03 21,4.427520847940715
2022-10-03 22,4.395583315628424
2022-10-03 23,4.356136738369255
2022-10-04 00,4.284483137617352
2022-10-04 01,4.325224117846889
2022-10-04 02,4.316669855739741
2022-10-04 03,4.230051584958601
2022-10-04 04,4.130785318482156
2022-10-04 05,4.140099233261285
2022-10-04 06,4.105064276195972
2022-10-04 07,4.135076278604858
2022-10-04 08,4.205477047834014
2022-10-04 09,4.194192750073809
2022-10-04 10,4.250971417325104
2022-10-04 11,4.2243413561288605
2022-10-04 12,4.250407889350883
2022-10-04 13,4.3691376043553785
2022-10-04 14,4.350323977533961
2022-10-04 15,4.326104296182038
2022-10-04 16,4.291090054886714
2022-10-04 17,4.350663498268387
2022-10-04 18,4.270676764987463
2022-10-04 19,4.1896472975051
2022-10-04 20,4.20063212074102
2022-10-04 21,4.107303515981589
2022-10-04 22,4.0069879753761475
2022-10-04 23,3.959849263093005
2022-10-05 00,3.854900784889776
2022-10-05 01,3.8080976144725556
2022-10-05 02,3.75799384574006
2022-10-05 03,3.6038635922372837
2022-10-05 04,3.494242680862671
2022-10-05 05,3.4669650700014865
2022-10-05 06,3.8500915878409527
2022-10-05 07,3.9492392710668764
2022-10-05 08,4.096325004575005
2022-10-05 09,4.094993694618309
2022-10-05 10,4.189570908929635
2022-10-05 11,4.292516480488363
2022-10-05 12,4.269529651303798
2022-10-05 13,4.307766068490564
2022-10-05 14,4.37829206928308
2022-10-05 15,4.281015028131133
2022-10-05 16,4.335452270274498
2022-10-05 17,4.352329148101164
2022-10-05 18,4.362417574056277
2022-10-05 19,4.295270812551253
2022-10-05 20,4.3032352550538295
2022-10-05 21,4.260663057248336
2022-10-05 22,4.259427604821399
2022-10-05 23,4.16801275319955
2022-10-06 00,4.127583642571688
2022-10-06 01,4.129381874948088
2022-10-06 02,4.0926434357390615
2022-10-06 03,4.109079087209827
2022-10-06 04,4.093350014689746
2022-10-06 05,4.050640244207759
2022-10-06 06,4.065375634626817
2022-10-06 07,4.201773234278809
2022-10-06 08,4.292418395619331
2022-10-06 09,4.430492162938848
2022-10-06 10,4.527952600116903
2022-10-06 11,4.596041290340095
2022-10-06 12,4.697377211189356
2022-10-06 13,4.6352338581462735
2022-10-06 14,4.7168877730145
2022-10-06 15,4.703577407394405
2022-10-06 16,4.7655170602986905
2022-10-06 17,4.773979783509775
2022-10-06 18,4.740440086577337
2022-10-06 19,4.75590444001473
2022-10-06 20,4.777402321635504
2022-10-06 21,4.746982320569897
2022-10-06 22,4.637735656729707
2022-10-06 23,4.540303982439199
2022-10-07 00,4.571589655084413
2022-10-07 01,4.558947831848706
2022-10-07 02,4.55387374480698
2022-10-07 03,4.513061797214464
2022-10-07 04,4.33698043344968
2022-10-07 05,4.307953057988791
