Time (UTC), WUE (L/kWh)
2022-09-29 08,1.6744116794025865
2022-09-29 09,2.2477377681546113
2022-09-29 10,3.0877247959165213
2022-09-29 11,3.2730801385067414
2022-09-29 12,3.2928407628377814
2022-09-29 13,3.4643751257155877
2022-09-29 14,3.510029409647771
2022-09-29 15,3.5609912292192534
2022-09-29 16,3.5527170416159963
2022-09-29 17,3.4734317334516955
2022-09-29 18,3.2869363683709754
2022-09-29 19,3.155072372569506
2022-09-29 20,2.8711319524979286
2022-09-29 21,2.8890531337578915
2022-09-29 22,2.610443628858941
2022-09-29 23,2.2599982702922645
2022-09-30 00,2.511011718144709
2022-09-30 01,2.23890362822898
2022-09-30 02,2.0664006281813854
2022-09-30 03,1.3832161004672867
2022-09-30 04,1.4881314315361436
2022-09-30 05,1.445008664015806
2022-09-30 06,1.4493145930488103
2022-09-30 07,1.4589422161472003
2022-09-30 08,1.7714969501828144
2022-09-30 09,2.5555730235703873
2022-09-30 10,3.063438659866045
2022-09-30 11,3.3276570110392747
2022-09-30 12,3.3618892177744764
2022-09-30 13,3.605193277875628
2022-09-30 14,3.6473530096743056
2022-09-30 15,3.6642661869028537
2022-09-30 16,3.665312529392542
2022-09-30 17,3.710400047573746
2022-09-30 18,3.4980249399409615
2022-09-30 19,3.3239008391823743
2022-09-30 20,2.471990044267762
2022-09-30 21,2.036932489087168
2022-09-30 22,2.657235724661497
2022-09-30 23,2.141040370319604
2022-10-01 00,2.188988143307923
2022-10-01 01,1.6354639459332303
2022-10-01 02,1.3391024276614447
2022-10-01 03,1.3696272379015464
2022-10-01 04,1.4060606768565107
2022-10-01 05,1.4250262499591624
2022-10-01 06,1.4270656139653775
2022-10-01 07,1.4395405931408916
2022-10-01 08,1.8701971073470793
2022-10-01 09,2.795739262720353
2022-10-01 10,3.3839919637312015
2022-10-01 11,3.6148827430592627
2022-10-01 12,3.8249209435107696
2022-10-01 13,3.865887746610349
2022-10-01 14,3.89304214634672
2022-10-01 15,4.045332948937579
2022-10-01 16,4.042395735925152
2022-10-01 17,3.9573085694874948
2022-10-01 18,3.9118943714509236
2022-10-01 19,3.5831996095172602
2022-10-01 20,3.528581344920402
2022-10-01 21,3.5976732569639305
2022-10-01 22,3.3812068860268276
2022-10-01 23,3.3225335594733467
2022-10-02 00,2.9845556264881665
2022-10-02 01,2.7958137701988974
2022-10-02 02,2.89671569766252
2022-10-02 03,2.9287538563422
2022-10-02 04,2.808223166735756
2022-10-02 05,2.818215753374745
2022-10-02 06,2.6524617949306615
2022-10-02 07,2.555564776889261
2022-10-02 08,2.732685425440452
2022-10-02 09,2.9072451556368737
2022-10-02 10,3.2134586134932084
2022-10-02 11,3.3260322683874115
2022-10-02 12,3.5317346955682107
2022-10-02 13,3.5392710359493424
2022-10-02 14,3.6484271614163126
2022-10-02 15,3.7047613896506384
2022-10-02 16,3.6586261413395644
2022-10-02 17,3.6519207650006633
2022-10-02 18,3.4953587658149976
2022-10-02 19,3.3202286248639314
2022-10-02 20,3.126483257172033
2022-10-02 21,3.126104800413492
2022-10-02 22,2.982244027787088
2022-10-02 23,2.977555122702242
2022-10-03 00,2.980142170836171
2022-10-03 01,2.9735033904723265
2022-10-03 02,2.83030873697366
2022-10-03 03,2.8435825566687374
2022-10-03 04,2.884717766768763
2022-10-03 05,2.904651768200203
2022-10-03 06,2.7427298613211724
2022-10-03 07,2.7518071232883283
2022-10-03 08,2.760555236019392
2022-10-03 09,2.999381808952371
2022-10-03 10,3.544346171800804
2022-10-03 11,3.936097084110925
2022-10-03 12,4.200955009796578
2022-10-03 13,4.439252804709785
2022-10-03 14,4.345280094081234
2022-10-03 15,4.376824526783146
2022-10-03 16,4.213021334557977
2022-10-03 17,4.184302471981203
2022-10-03 18,4.177514265729328
2022-10-03 19,3.976487211850606
2022-10-03 20,3.970262931716112
2022-10-03 21,3.719347828745865
2022-10-03 22,3.7166005733355005
2022-10-03 23,3.5668629067207385
2022-10-04 00,3.5530228054278754
2022-10-04 01,3.5484859913929125
2022-10-04 02,3.4111795802072926
2022-10-04 03,3.608897007577451
2022-10-04 04,3.711089073830927
2022-10-04 05,3.512763440944543
2022-10-04 06,3.3221368402936102
2022-10-04 07,3.231336599201839
2022-10-04 08,3.371981099806783
2022-10-04 09,3.338168505016334
2022-10-04 10,3.668800396393567
2022-10-04 11,3.7952593032499817
2022-10-04 12,4.024069802647812
2022-10-04 13,4.124978079679096
2022-10-04 14,4.10279026614151
2022-10-04 15,4.048881266919813
2022-10-04 16,4.184701860628124
2022-10-04 17,4.164873679063828
2022-10-04 18,3.9643558542063877
2022-10-04 19,3.7903010282542264
2022-10-04 20,3.6994746549911843
2022-10-04 21,3.573543604324098
2022-10-04 22,3.4747020621315268
2022-10-04 23,3.3924928440395994
2022-10-05 00,3.5716308015829217
2022-10-05 01,3.6183042263398266
2022-10-05 02,3.9826511491735133
2022-10-05 03,3.889490155021078
2022-10-05 04,3.9084792405173436
2022-10-05 05,4.08498227009494
2022-10-05 06,4.106452963982063
2022-10-05 07,4.179443485880994
2022-10-05 08,4.169374898741854
2022-10-05 09,4.231055250827944
2022-10-05 10,4.258982769963355
2022-10-05 11,4.2167436481290865
2022-10-05 12,4.213208702670319
2022-10-05 13,4.262276772236426
2022-10-05 14,4.235236168589884
2022-10-05 15,4.223758792161059
2022-10-05 16,4.231630808298959
2022-10-05 17,4.1067259493831285
2022-10-05 18,4.044626508536758
2022-10-05 19,3.816612089419224
2022-10-05 20,3.2059503770891054
2022-10-05 21,3.082073560248216
2022-10-05 22,2.5336147065195167
2022-10-05 23,2.369807973489446
2022-10-06 00,2.272574667230379
2022-10-06 01,2.424356970507689
2022-10-06 02,2.302942751432825
2022-10-06 03,2.1086928159900964
2022-10-06 04,2.7837293321439014
2022-10-06 05,3.3379554083486003
2022-10-06 06,3.5831418136088455
2022-10-06 07,3.583751675397477
2022-10-06 08,3.5835045537424333
2022-10-06 09,3.793511190456706
2022-10-06 10,3.8334900779156804
2022-10-06 11,4.056632326743334
2022-10-06 12,4.122333673331484
2022-10-06 13,4.121879823033507
2022-10-06 14,4.248511578511852
2022-10-06 15,4.305968091365155
2022-10-06 16,4.316649156419089
2022-10-06 17,4.200296477113697
2022-10-06 18,4.1449153453287195
2022-10-06 19,4.15577045186262
2022-10-06 20,4.151116314271761
2022-10-06 21,4.07300004284391
2022-10-06 22,4.071244500140033
2022-10-06 23,3.977078423608039
2022-10-07 00,3.8040267165193518
2022-10-07 01,3.6059658165054795
2022-10-07 02,3.1515048849541616
2022-10-07 03,3.044545590140454
2022-10-07 04,2.783102625319687
2022-10-07 05,2.7827864053603886
2022-10-07 06,3.3280819191254762
2022-10-07 07,3.337264390667073
2022-10-07 08,3.4763054268366274
2022-10-07 09,3.680452390866993
2022-10-07 10,4.10510482964809
2022-10-07 11,4.278415907558769
2022-10-07 12,4.192223633512838
2022-10-07 13,4.313583529967695
2022-10-07 14,4.329068675935809
2022-10-07 15,4.181543147270481
2022-10-07 16,4.213401673599645
2022-10-07 17,4.260434910804977
2022-10-07 18,4.127220291541164
2022-10-07 19,4.0568412489374115
2022-10-07 20,4.066300409165709
2022-10-07 21,4.079179401966243
2022-10-07 22,4.094347659205717
2022-10-07 23,4.101855861109553
2022-10-08 00,4.125887153374647
