Time (UTC),Price (USD/MWh)
2022-10-09 16,155.6771493326866
2022-10-09 17,166.0726443855011
2022-10-09 18,176.46813943831557
2022-10-09 19,186.86363449112918
2022-10-09 20,246.75471721886944
2022-10-09 21,323.5093591949933
2022-10-09 22,370.5044054609137
2022-10-09 23,334.9239520854043
2022-10-10 00,299.343498709895
2022-10-10 01,263.76304533438866
2022-10-10 02,228.1825919588793
2022-10-10 03,192.60213858336996
2022-10-10 04,176.0223458148622
2022-10-10 05,177.1344700173967
2022-10-10 06,173.52845669065826
2022-10-10 07,204.96863043868174
2022-10-10 08,262.65913462099047
2022-10-10 09,320.3496388032992
2022-10-10 10,378.04014298560287
2022-10-10 11,350.279072146279
2022-10-10 12,320.02388087258515
2022-10-10 13,289.7686895988939
2022-10-10 14,267.7728237410352
2022-10-10 15,247.56960908194412
2022-10-10 16,255.08120114070456
2022-10-10 17,311.0310424592884
2022-10-10 18,366.98088377787235
2022-10-10 19,422.9307250964514
2022-10-10 20,478.88056641503533
2022-10-10 21,512.5686337876014
2022-10-10 22,450.2981506004486
2022-10-10 23,388.0276674132905
2022-10-11 00,325.7571842261325
2022-10-11 01,269.46744603049035
2022-10-11 02,285.2639117509255
2022-10-11 03,272.11632583692796
2022-10-11 04,257.3693581257709
2022-10-11 05,279.33030644703473
2022-10-11 06,334.8469348628304
2022-10-11 07,390.3635632786213
2022-10-11 08,445.880191694417
2022-10-11 09,465.0520099639667
2022-10-11 10,424.4723189515314
2022-10-11 11,383.89262793909256
2022-10-11 12,343.3129369266537
2022-10-11 13,302.7332459142184
2022-10-11 14,262.15355490177956
2022-10-11 15,248.64332530541932
2022-10-11 16,256.6804438782312
2022-10-11 17,333.8625633585688
2022-10-11 18,424.8937680938642
2022-10-11 19,515.9249728291519
2022-10-11 20,525.839086571349
2022-10-11 21,438.78669081673775
2022-10-11 22,351.73429506213404
2022-10-11 23,298.42430774512064
2022-10-12 00,276.9432036179388
